game_id,season,week,team,def_value_pre,def_value_post
2014_18_ARI_CAR,2014,18,ARI,-11.283,-10.881
2015_01_NO_ARI,2015,1,ARI,-6.975,-6.781
2015_02_ARI_CHI,2015,2,ARI,-6.781,-6.527
2015_03_SF_ARI,2015,3,ARI,-6.527,-4.325
2015_04_LAR_ARI,2015,4,ARI,-4.325,-5.623
2015_05_ARI_DET,2015,5,ARI,-5.623,-4.542
2015_06_ARI_PIT,2015,6,ARI,-4.542,-3.203
2015_07_BAL_ARI,2015,7,ARI,-3.203,-3.458
2015_08_ARI_CLE,2015,8,ARI,-3.458,-3.97
2015_10_ARI_SEA,2015,10,ARI,-3.97,-3.31
2015_11_CIN_ARI,2015,11,ARI,-3.31,-4.419
2015_12_ARI_SF,2015,12,ARI,-4.419,-5.928
2015_13_ARI_LAR,2015,13,ARI,-5.928,-4.839
2015_14_MIN_ARI,2015,14,ARI,-4.839,-6.953
2015_15_ARI_PHI,2015,15,ARI,-6.953,-7.522
2015_16_GB_ARI,2015,16,ARI,-7.522,-4.789
2015_17_SEA_ARI,2015,17,ARI,-4.789,-5.815
2015_19_GB_ARI,2015,19,ARI,-5.815,-6.78
2015_20_ARI_CAR,2015,20,ARI,-6.78,-8.684
2016_01_NE_ARI,2016,1,ARI,-5.566,-7.911
2016_02_TB_ARI,2016,2,ARI,-7.911,-5.354
2016_03_ARI_BUF,2016,3,ARI,-5.354,-4.328
2016_04_LAR_ARI,2016,4,ARI,-4.328,-6.384
2016_05_ARI_SF,2016,5,ARI,-6.384,-5.287
2016_06_NYJ_ARI,2016,6,ARI,-5.287,-4.911
2016_07_SEA_ARI,2016,7,ARI,-4.911,-5.116
2016_08_ARI_CAR,2016,8,ARI,-5.116,-4.47
2016_10_SF_ARI,2016,10,ARI,-4.47,-6.122
2016_11_ARI_MIN,2016,11,ARI,-6.122,-6.348
2016_12_ARI_ATL,2016,12,ARI,-6.348,-6.602
2016_13_WAS_ARI,2016,13,ARI,-6.602,-6.078
2016_14_ARI_MIA,2016,14,ARI,-6.078,-6.987
2016_15_NO_ARI,2016,15,ARI,-6.987,-9.205
2016_16_ARI_SEA,2016,16,ARI,-9.205,-10.268
2016_17_ARI_LAR,2016,17,ARI,-10.268,-8.153
2017_01_ARI_DET,2017,1,ARI,-5.226,-7.539
2017_02_ARI_IND,2017,2,ARI,-7.539,-6.863
2017_03_DAL_ARI,2017,3,ARI,-6.863,-8.18
2017_04_SF_ARI,2017,4,ARI,-8.18,-6.956
